profile pic,nums/length username,fullname words,nums/length fullname,name==username,description length,external URL,private,#posts,#followers,#follows,fake
1,0.27,0,0.0,0,53,0,0,32,1000,955,0
1,0.0,2,0.0,0,44,0,0,286,2740,533,0
1,0.1,2,0.0,0,0,0,1,13,159,98,0
1,0.0,1,0.0,0,82,0,0,679,414,651,0
1,0.0,2,0.0,0,0,0,1,6,151,126,0
1,0.0,4,0.0,0,81,1,0,344,669987,150,0
1,0.0,2,0.0,0,50,0,0,16,122,177,0
1,0.0,2,0.0,0,0,0,0,33,1078,76,0
1,0.0,0,0.0,0,71,0,0,72,1824,2713,0
1,0.0,2,0.0,0,40,1,0,213,12945,813,0
1,0.0,2,0.0,0,54,0,0,648,9884,1173,0
1,0.0,2,0.0,0,54,1,0,76,1188,365,0
1,0.0,2,0.0,0,0,1,0,298,945,583,0
1,0.0,2,0.0,0,103,1,0,117,12033,248,0
1,0.0,2,0.0,0,98,1,0,487,1962,2701,0
1,0.0,3,0.0,0,46,0,0,254,50374,900,0
1,0.0,3,0.0,0,0,0,0,59,7007,289,0
1,0.29,3,0.0,0,48,0,0,1570,1128,694,0
1,0.0,2,0.0,0,63,1,0,378,34670,1878,0
1,0.0,2,0.0,0,106,1,0,526,2338,776,0
1,0.0,2,0.0,0,40,0,0,228,3516,999,0
1,0.0,1,0.0,0,35,1,1,35,1809,416,0
1,0.0,2,0.0,0,30,0,0,281,427,470,0
1,0.0,1,0.0,0,27,0,0,285,759,956,0
1,0.0,0,0.0,0,0,0,0,148,15338538,61,0
1,0.0,1,0.0,0,109,1,1,57,109,179,0
1,0.0,6,0.0,0,0,0,1,17,536,665,0
1,0.0,2,0.0,0,132,1,0,511,121354,176,0
1,0.0,2,0.0,0,126,1,0,230,2284,130,0
1,0.0,2,0.0,0,122,0,1,15,186,174,0
1,0.0,2,0.0,0,138,0,1,980,687,1517,0
1,0.13,0,0.0,0,0,0,1,53,966,952,0
1,0.0,2,0.0,0,50,0,1,111,177,170,0
1,0.0,2,0.0,0,35,0,0,719,744,967,0
1,0.0,2,0.0,0,56,1,0,1164,542073,674,0
1,0.18,2,0.0,0,9,0,0,497,5315651,2703,0
1,0.33,0,0.0,0,0,0,1,18,267,328,0
1,0.0,2,0.0,0,81,0,0,50,691,680,0
1,0.0,2,0.0,0,134,0,1,74,120,112,0
1,0.0,2,0.0,0,0,0,0,8,105,98,0
