username,connections_count,followers_count,following_count,activity_count,number_of_posts,account_age_days,bio_length,has_profile_pic,has_cover_photo,followers_following_ratio,label
sai_jadhav,36699,36148,551,1928,1568,302,67,1,0,65.6,0
suman460,67619,66337,1282,317,526,1095,121,1,0,51.74,0
aishwarya_95,3843,81,3762,43,48,2,17,0,0,0.02,1
mrunal_128,46468,45182,1286,2266,1785,1670,153,1,0,35.13,0
arjun.sharma,83813,82497,1316,3062,650,2461,123,1,0,62.69,0
shreyakulkarni,3464,51,3413,35,14,21,29,1,0,0.01,1
nikita948,23674,22531,1143,2105,1350,2695,70,1,1,19.71,0
shivali.gaikwad,7950,7431,519,362,1776,1528,153,1,1,14.32,0
snehabhise,3796,255,3541,58,41,55,9,1,0,0.07,1
vihaan.singh,2281,185,2096,17,25,150,32,1,0,0.09,1
ishaanbhise,3623,197,3426,76,4,153,29,1,0,0.06,1
krishna862,1817,222,1595,58,18,29,0,1,0,0.14,1
prajktapatil,22428,21274,1154,4444,815,826,50,1,1,18.44,0
rohan_676,5070,123,4947,10,3,62,5,1,0,0.02,1
kavyashinde,80523,79607,916,1835,1130,1285,119,1,0,86.91,0
riya_sutar,2391,61,2330,28,28,133,4,1,0,0.03,1
pooja220,6027,4217,1810,2806,188,1137,59,1,0,2.33,0
ankit_100,62600,62053,547,3974,1230,2538,153,1,1,113.44,0
krishna.sutar,982,239,743,12,26,109,3,1,1,0.32,1
krishna668,2674,93,2581,59,27,36,15,0,1,0.04,1
prajkta_219,100659,98871,1788,2036,1947,582,71,1,1,55.3,0
priya714,1231,382,849,2272,826,874,150,1,1,0.45,0
vihaan_599,2234,151,2083,7,12,40,37,0,1,0.07,1
sneha123,12393,10600,1793,1622,1090,432,58,1,0,5.91,0
ananyajoshi,6627,5309,1318,771,1267,2571,103,1,1,4.03,0
arjun470,18679,17254,1425,2557,860,1287,108,1,1,12.11,0
arjunsutar,29124,28038,1086,2272,1151,500,66,1,1,25.82,0
kavya.singh,72790,71300,1490,2578,1757,1994,128,1,0,47.85,0
kunal_518,1856,283,1573,34,6,30,18,0,1,0.18,1
ananya_760,2782,216,2566,5,5,14,0,1,0,0.08,1
rahul_jadhav,973,57,916,19,0,144,34,0,1,0.06,1
divya_906,3251,20,3231,26,50,94,43,0,0,0.01,1
suresh_802,23087,21399,1688,1550,1820,1169,102,1,0,12.68,0
riya_837,92288,92017,271,3233,376,1292,54,1,1,339.55,0
aishwarya_gaikwad,2242,116,2126,3,50,79,42,0,1,0.05,1
ananyakharat,3834,260,3574,68,41,90,21,0,0,0.07,1
nikita_joshi,57816,57059,757,2669,1271,644,105,1,0,75.38,0
nehasingh,2189,275,1914,46,33,1,27,0,1,0.14,1
suman.shinde,3763,167,3596,37,26,171,35,0,0,0.05,1
mrunal.kadam,2789,0,2789,36,35,104,13,1,1,0.0,1
sneha.kale,2667,43,2624,65,42,44,42,1,0,0.02,1
ankit_507,33215,32192,1023,696,144,300,108,1,1,31.47,0
riya824,90289,90228,61,973,1393,804,149,1,1,1479.15,0
prathamesh437,1421,127,1294,58,35,13,8,1,1,0.1,1
prajkta_282,4229,243,3986,33,47,41,48,0,1,0.06,1
rohan_237,36451,35714,737,2719,530,1370,119,1,0,48.46,0
suman_212,55361,54477,884,2810,181,1076,119,1,1,61.63,0
nikita552,3426,10,3416,61,44,150,0,1,1,0.0,1
aishwarya.shinde,36816,35874,942,4078,499,2199,53,1,1,38.08,0
nikhil_888,793,273,520,50,39,33,37,0,0,0.53,1
aishwarya_285,50509,49789,720,1833,582,405,108,1,1,69.15,0
aditya.patil,4727,9,4718,6,30,21,22,0,0,0.0,1
kunalkadam,20611,20073,538,1134,1322,283,110,1,0,37.31,0
nikita.shinde,1699,58,1641,39,38,43,6,0,1,0.04,1
ishaan356,82860,82313,547,934,1464,2625,139,1,1,150.48,0
krishnajadhav,4479,35,4444,43,23,170,0,1,1,0.01,1
nikhil.gaikwad,4664,90,4574,34,27,40,39,1,1,0.02,1
aishwaryapatil,59736,59187,549,3906,1855,1342,122,1,1,107.81,0
pooja11,48290,46607,1683,2216,484,2197,93,1,1,27.69,0
yogesh_chavhan,95363,94481,882,4102,544,550,121,1,0,107.12,0
yogeshbhise,54571,53105,1466,2093,503,1405,89,1,1,36.22,0
